Sesn,locn,block,rep,tillage ,ferT,Plants_harvested,No_bigtubers,Weigh_bigtubers,No_mediumtubers,Weight_mediumtubers,No_smalltubers,Weight_smalltubers,Totaltuberno,AV_tubers_Plant,Total_tubweight,plotsize,HEC,TotalWeightperhectare,TotalTuberperHectare
1,1,2,2,conv,F4250,19,4.0,0.7,100.0,5.6,92,1.8,196,10.31578947368421,8.1,4.2,10000,19285.714285714283,466666.6666666666
1,1,2,2,conv,F5300,20,12.0,1.3,86.0,4.4,128,2.7,226,11.3,8.4,4.2,10000,20000.0,538095.2380952381
1,1,3,3,conv,F1100,15,10.0,1.3,98.0,5.4,119,1.9,227,15.133333333333333,8.6,4.2,10000,20476.190476190473,540476.1904761904
1,1,3,3,conv,F3200,17,13.75,1.7499999999999998,122.0,7.2,115,1.5,251,14.764705882352942,10.8,4.2,10000,25714.285714285717,597619.0476190476
1,1,3,3,conv,F2150,20,13.75,1.7499999999999998,124.0,7.0,109,1.8,269,13.45,13.9,4.2,10000,28911.725067385447,640476.1904761905
1,1,3,3,conv,F4250,19,13.75,1.7499999999999998,74.0,4.5,108,1.1,223,11.736842105263158,12.6,4.2,10000,28911.725067385447,530952.380952381
1,1,3,3,conv,F5300,19,13.75,1.7499999999999998,103.0,6.5,157,3.5,281,14.789473684210526,13.0,4.2,10000,28911.725067385447,669047.6190476189
1,1,2,2,minimum,F1100,16,0.0,0.0,37.0,2.5,109,2.0,146,9.125,4.5,4.2,10000,10714.285714285714,347619.0476190476
1,1,2,2,minimum,F3200,18,6.0,1.0,108.0,6.7,112,1.8,226,12.555555555555555,9.5,4.2,10000,22619.04761904762,538095.2380952381
1,1,2,2,minimum,F2150,18,0.0,0.0,47.0,2.2,145,2.0,192,10.666666666666666,4.2,4.2,10000,10000.0,457142.85714285716
1,1,2,2,minimum,F4250,18,0.0,0.0,35.0,2.2,160,2.3,195,10.833333333333334,4.5,4.2,10000,10714.285714285714,464285.71428571426
1,1,2,2,minimum,F5300,17,0.0,0.0,36.0,1.6,56,1.7,92,5.411764705882353,3.3,4.2,10000,7857.142857142856,219047.61904761905
1,1,3,3,minimum,F1100,20,13.75,1.7499999999999998,104.0,6.1,132,2.6,253,12.65,11.4,4.2,10000,27142.857142857145,602380.9523809523
1,1,3,3,minimum,F3200,18,13.75,1.7499999999999998,93.0,6.1,105,2.1,215,11.944444444444445,11.7,4.2,10000,27857.142857142855,511904.7619047619
1,1,3,3,minimum,F2150,18,8.0,1.3,101.0,6.5,120,2.5,229,12.722222222222221,10.3,4.2,10000,24523.809523809527,545238.0952380951
1,1,3,3,minimum,F4250,19,13.75,1.7499999999999998,124.0,7.925000000000001,104,2.3,254,13.368421052631579,14.100000000000001,4.2,10000,28911.725067385447,604761.9047619047
1,1,3,3,minimum,F5300,19,10.0,1.5,101.0,5.9,222,3.5,333,17.526315789473685,10.9,4.2,10000,25952.380952380954,792857.1428571427
1,2,1,1,conv,F1100,13,0.0,0.0,18.0,1.1,104,1.8,122,9.384615384615385,2.9000000000000004,4.2,10000,6904.7619047619055,290476.1904761905
1,2,1,1,conv,F3200,14,1.0,0.1,38.0,2.7,78,2.0,117,8.357142857142858,4.800000000000001,4.2,10000,11428.57142857143,278571.4285714286
1,2,1,1,conv,F2150,12,0.0,0.0,14.0,0.9,70,1.2,84,7.0,2.1,4.2,10000,5000.0,200000.0
1,2,1,1,conv,F4250,12,7.0,1.7499999999999998,35.0,2.9,107,2.5,149,12.416666666666666,7.3,4.2,10000,17380.952380952378,354761.90476190473
1,2,1,1,conv,F5300,10,13.75,1.7499999999999998,38.0,3.0,137,3.0,192,19.2,9.1,4.2,10000,21666.666666666664,457142.85714285716
1,2,2,2,conv,F1100,10,0.0,0.0,15.0,1.3,45,1.2,60,6.0,2.5,4.2,10000,5952.380952380952,142857.14285714284
1,2,2,2,conv,F3200,9,7.0,1.0,62.0,3.3,87,1.9,156,17.333333333333332,6.199999999999999,4.2,10000,14761.90476190476,371428.57142857136
1,2,2,2,conv,F2150,6,2.0,0.1,27.0,3.0,50,1.0,79,13.166666666666666,4.1,4.2,10000,9761.90476190476,188095.2380952381
1,2,2,2,conv,F4250,17,1.0,0.1,63.0,4.0,122,2.3,186,10.941176470588236,6.3999999999999995,4.2,10000,15238.095238095237,442857.14285714284
1,2,2,2,conv,F5300,15,11.0,1.7499999999999998,55.0,4.5,88,2.0,154,10.266666666666667,8.5,4.2,10000,20238.095238095237,366666.6666666666
1,2,3,3,conv,F1100,17,0.0,0.0,27.0,1.1,105,2.5,132,7.764705882352941,3.6,4.2,10000,8571.42857142857,314285.71428571426
1,2,3,3,conv,F3200,9,6.0,1.5,23.0,1.9,39,1.1,68,7.555555555555555,4.5,4.2,10000,10714.285714285714,161904.7619047619
1,2,3,3,conv,F2150,12,0.0,0.0,11.0,1.0,85,1.5,96,8.0,2.5,4.2,10000,5952.380952380952,228571.42857142858
1,2,3,3,conv,F4250,5,7.0,1.0,23.0,1.9,40,1.0,70,14.0,3.9,4.2,10000,9285.714285714284,166666.66666666666
1,2,3,3,conv,F5300,12,13.75,1.7499999999999998,34.0,3.0,37,1.6,90,7.5,7.699999999999999,4.2,10000,18333.333333333332,214285.71428571426
1,2,1,1,minimum,F1100,15,0.0,0.0,34.0,2.0,110,2.5,144,9.6,4.5,4.2,10000,10714.285714285714,342857.14285714284
1,2,1,1,minimum,F3200,12,0.0,0.0,50.0,4.9,106,3.8,156,13.0,8.7,4.2,10000,20714.28571428571,371428.57142857136
1,2,1,1,minimum,F2150,18,0.0,0.0,16.0,1.1,172,3.8,188,10.444444444444445,4.9,4.2,10000,11666.666666666668,447619.0476190476
1,2,1,1,minimum,F4250,15,5.0,1.0,38.0,3.0,142,3.0,185,12.333333333333334,7.0,4.2,10000,16666.666666666664,440476.1904761904
1,2,1,1,minimum,F5300,15,0.0,0.0,63.0,4.1,106,2.1,169,11.266666666666667,6.199999999999999,4.2,10000,14761.90476190476,402380.9523809523
1,2,2,2,minimum,F1100,7,0.0,0.0,39.0,2.8,88,1.7,127,18.142857142857142,4.5,4.2,10000,10714.285714285714,302380.95238095237
1,2,2,2,minimum,F3200,13,10.0,1.0,35.0,2.0,63,1.0,108,8.307692307692308,4.0,4.2,10000,9523.809523809523,257142.85714285713
1,2,2,2,minimum,F2150,10,0.0,0.0,15.0,1.0,46,1.0,61,6.1,2.0,4.2,10000,4761.9047619047615,145238.09523809524
1,2,2,2,minimum,F4250,14,10.0,1.7499999999999998,64.0,5.0,64,1.5,138,9.857142857142858,8.5,4.2,10000,20238.095238095237,328571.4285714285
1,2,2,2,minimum,F5300,12,0.0,0.0,66.0,5.3,84,3.0,150,12.5,8.3,4.2,10000,19761.904761904763,357142.85714285716
1,2,3,3,minimum,F1100,11,0.0,0.0,52.0,4.1,64,2.8,116,10.545454545454545,6.8999999999999995,4.2,10000,16428.571428571428,276190.47619047615
1,2,3,3,minimum,F3200,14,13.75,1.7499999999999998,54.0,4.8,79,1.0,153,10.928571428571429,9.3,4.2,10000,22142.857142857145,364285.71428571426
1,2,3,3,minimum,F2150,13,0.0,0.0,72.0,5.0,54,1.0,126,9.692307692307692,6.0,4.2,10000,14285.714285714286,300000.0
1,2,3,3,minimum,F5300,12,11.0,1.7499999999999998,56.0,4.0,84,2.0,151,12.583333333333334,8.0,4.2,10000,19047.619047619046,359523.80952380947
1,2,3,3,minimum,F4250,15,13.75,1.7499999999999998,40.0,4.8,82,1.6,143,9.533333333333333,8.4,4.2,10000,20000.0,340476.1904761904
2,2,1,1,minimum,F1100,17,0.0,0.0,18.0,1.0,98,1.2,116,6.823529411764706,2.2,4.2,10000,5238.0952380952385,276190.47619047615
2,2,1,1,minimum,F5300,17,0.0,0.0,13.0,0.5,84,0.9,97,5.705882352941177,1.4,4.2,10000,3333.333333333333,230952.38095238095
2,2,1,1,minimum,F4250,10,0.0,0.0,17.0,0.8,92,1.3,109,10.9,2.1,4.2,10000,5000.0,259523.80952380953
2,2,1,1,minimum,F3200,17,0.0,0.0,17.0,1.1,87,1.4,104,6.117647058823529,2.5,4.2,10000,5952.380952380952,247619.0476190476
2,2,1,1,minimum,F2150,14,0.0,0.0,10.0,0.9,67,1.1,77,5.5,2.0,4.2,10000,4761.9047619047615,183333.3333333333
2,2,2,2,minimum,F1100,15,0.0,0.0,11.0,0.5,46,1.0,57,3.8,1.5,4.2,10000,3571.4285714285716,135714.2857142857
2,2,2,2,minimum,F5300,13,0.0,0.0,21.0,1.0,51,0.5,72,5.538461538461538,1.5,4.2,10000,3571.4285714285716,171428.57142857142
2,2,2,2,minimum,F4250,15,0.0,0.0,31.0,2.1,95,2.0,126,8.4,4.1,4.2,10000,9761.90476190476,300000.0
2,2,2,2,minimum,F3200,18,0.0,0.0,20.0,1.0,87,2.1,107,5.944444444444445,3.1,4.2,10000,7380.952380952382,254761.90476190473
2,2,2,2,minimum,F2150,7,0.0,0.0,16.0,2.0,94,1.5,110,15.714285714285714,3.5,4.2,10000,8333.333333333332,261904.7619047619
2,2,3,3,minimum,F1100,15,0.0,0.0,11.0,0.5,50,1.0,61,4.066666666666666,1.5,4.2,10000,3571.4285714285716,145238.09523809524
2,2,3,3,minimum,F2150,16,0.0,0.0,30.0,1.0,85,0.9,115,7.1875,1.9,4.2,10000,4523.809523809523,273809.5238095238
2,2,3,3,minimum,F4250,18,0.0,0.0,28.0,2.0,120,3.0,148,8.222222222222221,5.0,4.2,10000,11904.761904761905,352380.9523809523
2,2,3,3,minimum,F5300,12,0.0,0.0,19.0,0.5,48,0.5,67,5.583333333333333,1.0,4.2,10000,2380.9523809523807,159523.80952380953
2,2,3,3,minimum,F3200,10,0.0,0.0,14.0,1.0,64,1.5,78,7.8,2.5,4.2,10000,5952.380952380952,185714.28571428568
2,2,1,1,conv,F1100,13,0.0,0.0,0.0,0.0,68,1.0,68,5.230769230769231,1.0,4.2,10000,2380.9523809523807,161904.7619047619
2,2,1,1,conv,F2150,14,0.0,0.0,29.0,1.8,70,1.4,99,7.071428571428571,3.2,4.2,10000,7619.047619047618,235714.28571428568
2,2,1,1,conv,F4250,14,0.0,0.0,26.0,1.5,84,2.0,110,7.857142857142857,3.5,4.2,10000,8333.333333333332,261904.7619047619
2,2,1,1,conv,F5300,18,0.0,0.0,38.0,2.5,120,2.5,158,8.777777777777779,5.0,4.2,10000,11904.761904761905,376190.4761904762
2,2,1,1,conv,F3200,17,0.0,0.0,17.0,0.5,109,2.0,126,7.411764705882353,2.5,4.2,10000,5952.380952380952,300000.0
2,2,2,2,conv,F1100,19,0.0,0.0,34.0,1.9,120,2.5,154,8.105263157894736,4.4,4.2,10000,10476.190476190477,366666.6666666666
2,2,2,2,conv,F4250,17,0.0,0.0,24.0,0.9,83,2.0,107,6.294117647058823,2.9,4.2,10000,6904.761904761905,254761.90476190473
2,2,2,2,conv,F3200,19,0.0,0.0,49.0,1.5,130,1.2,179,9.421052631578947,2.7,4.2,10000,6428.571428571429,426190.4761904762
2,2,2,2,conv,F5300,17,13.75,1.7499999999999998,46.0,1.1,87,1.5,147,8.647058823529411,4.6,4.2,10000,10952.38095238095,350000.0
2,2,2,2,conv,F2150,19,10.0,1.0,66.0,3.0,170,2.5,246,12.947368421052632,6.5,4.2,10000,15476.190476190475,585714.2857142857
2,2,3,3,conv,F1100,19,0.0,0.0,33.0,1.0,220,2.1,253,13.31578947368421,3.1,4.2,10000,7380.952380952382,602380.9523809523
2,2,3,3,conv,F5300,16,0.0,0.0,22.0,1.0,204,1.9,226,14.125,2.9,4.2,10000,6904.761904761905,538095.2380952381
2,2,3,3,conv,F2150,13,0.0,0.0,8.0,0.4,52,1.2,60,4.615384615384615,1.6,4.2,10000,3809.523809523809,142857.14285714284
2,2,3,3,conv,F4250,20,0.0,0.0,42.0,1.9,91,1.8,133,6.65,3.7,4.2,10000,8809.52380952381,316666.6666666666
2,2,3,3,conv,F3200,19,0.0,0.0,47.0,2.5,202,2.0,249,13.105263157894736,4.5,4.2,10000,10714.285714285714,592857.1428571428
